Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,RAM_Pct,Requests,Total_CPU,Total_RAM,Success,HPA_Target,Throughput,Enhancement,Forecast
C2,51,0.028196086936170844,93.89999999999999,49.8,1,7.6,16.40625,42.0,19.0,21.0,1.0,90,2.0,0,0.0
C2,52,0.027478864681226525,94.0,59.7,1,7.2,17.1875,54.0,18.0,22.0,1.0,90,2.0,1,0.0
C2,53,-0.18760535348681212,186.79999999999998,104.7,1,24.0,16.40625,99.0,60.0,21.0,1.0,90,3.0,0,0.0
C2,54,-0.23646595732921782,205.0,115.3,1,23.6,16.40625,101.0,59.0,21.0,1.0,90,3.0,0,0.0
C2,55,-0.003760756089856876,106.39999999999999,62.4,1,8.4,16.40625,58.0,21.0,21.0,1.0,90,2.0,2,0.0
C2,56,-0.24406245876965682,205.8,116.6,1,21.2,16.40625,124.0,53.0,21.0,1.0,90,2.0,1,0.0
C2,57,0.010218788975502408,103.8,63.6,1,13.6,16.40625,58.0,34.0,21.0,1.0,90,3.0,2,0.0
C2,58,0.5542990289614085,32.9,27.0,1,5.2,16.40625,23.0,13.0,21.0,1.0,90,2.0,2,0.0
C2,59,0.6670591094997571,18.1,17.6,1,4.8,16.40625,14.0,12.0,21.0,1.0,90,3.0,1,0.0
C2,60,0.6501493187480933,21.6,18.700000000000003,1,1.6,16.40625,15.0,4.0,21.0,1.0,90,1.0,0,0.0
C2,61,0.004974182579948833,101.3,53.1,1,4.0,16.40625,45.0,10.0,21.0,1.0,90,1.0,0,0.0
C2,62,0.5494109135117138,33.2,26.5,1,2.8,16.40625,27.0,7.0,21.0,1.0,90,1.0,0,0.0
C2,63,0.42448485794523083,48.099999999999994,36.4,1,8.4,16.40625,30.0,21.0,21.0,1.0,90,3.0,1,0.0
C2,64,0.5581806190671914,32.7,26.8,1,7.2,17.1875,25.0,18.0,22.0,1.0,90,3.0,1,0.0
C2,65,0.6641844064673916,18.0,17.6,1,1.6,16.40625,13.0,4.0,21.0,1.0,90,1.0,0,0.0
C2,66,0.5556556007278273,32.7,26.200000000000003,1,4.8,16.40625,23.0,12.0,21.0,1.0,90,2.0,2,0.0
C2,67,-0.20443549201119748,182.29999999999998,102.1,1,7.6,16.40625,95.0,19.0,21.0,1.0,90,1.0,2,0.0
C2,68,-0.1874880524638411,180.7,106.1,1,16.4,16.40625,95.0,41.0,21.0,1.0,90,2.0,2,0.0
C2,69,-0.03225589304438792,118.6,76.8,1,11.2,16.40625,63.0,28.0,21.0,1.0,90,2.0,2,0.0
C2,70,-0.2419125448435716,202.5,112.69999999999999,1,18.0,17.96875,111.0,45.0,23.0,1.0,90,2.0,1,0.0
C2,71,-0.24176191040965794,197.6,110.0,1,10.0,16.40625,124.0,25.0,21.0,1.0,90,1.0,2,0.0
C2,72,-0.1549210332208411,172.6,100.8,1,22.0,16.40625,95.0,55.0,21.0,1.0,90,3.0,0,0.0
C2,73,0.4241847088957383,47.6,34.4,1,4.0,16.40625,32.0,10.0,21.0,1.0,90,1.0,1,0.0
C2,74,-0.08035405388033795,141.4,90.39999999999999,1,18.4,16.40625,83.0,46.0,21.0,1.0,90,3.0,2,0.0
C2,75,-0.24665549293196215,198.7,118.8,1,8.4,16.40625,108.0,21.0,21.0,1.0,90,1.0,0,0.0
C2,76,0.07286891942205406,75.5,46.4,1,4.0,16.40625,46.0,10.0,21.0,1.0,90,1.0,2,0.0
C2,77,-0.08829296912375134,141.0,90.7,1,13.2,16.40625,82.0,33.0,21.0,1.0,90,2.0,1,0.0
C2,78,-0.08154075516909229,135.6,84.4,1,7.6,17.1875,70.0,19.0,22.0,1.0,90,1.0,1,0.0
C2,79,-0.08897253970439628,147.2,93.0,1,21.6,16.40625,84.0,54.0,21.0,1.0,90,3.0,0,0.0
C2,80,-0.05293199449446184,132.20000000000002,82.5,1,20.0,16.40625,71.0,50.0,21.0,1.0,90,3.0,0,0.0
C2,81,0.05057553039072951,88.0,56.2,1,12.8,16.40625,50.0,32.0,21.0,1.0,90,3.0,0,0.0
C2,82,0.5564284573713629,32.4,26.3,1,2.8,16.40625,20.0,7.0,21.0,1.0,90,1.0,1,0.0
C2,83,0.6641844064673916,17.9,17.6,1,1.6,16.40625,5.0,4.0,21.0,1.0,90,2.0,1,0.0
C2,84,0.6655552192464198,18.0,17.6,1,3.2,16.40625,12.0,8.0,21.0,1.0,90,2.0,2,0.0
C2,85,0.6682797526248165,18.2,17.8,1,6.0,16.40625,16.0,15.0,21.0,1.0,90,3.0,0,0.0
C2,86,0.6687050510671897,18.2,17.8,1,6.4,16.40625,18.0,16.0,21.0,1.0,90,3.0,2,0.0
C2,87,0.6641844064673916,18.2,17.7,1,1.6,16.40625,10.0,4.0,21.0,1.0,90,1.0,1,0.0
C2,88,0.6659183675801024,18.1,17.7,1,3.6,16.40625,15.0,9.0,21.0,1.0,90,2.0,2,0.0
C2,89,0.6670591094997571,18.2,17.8,1,4.8,16.40625,14.0,12.0,21.0,1.0,90,3.0,2,0.0
C2,90,0.6652003871959242,18.2,17.8,1,2.8,16.40625,12.0,7.0,21.0,1.0,90,2.0,1,0.0
C2,91,0.5586953842610203,32.800000000000004,26.8,1,8.4,16.40625,27.0,21.0,21.0,1.0,90,3.0,1,0.0
C2,92,0.6652003871959242,19.2,17.8,1,2.8,16.40625,11.0,7.0,21.0,1.0,90,2.0,2,0.0
C2,93,0.6648537330978317,18.2,17.8,1,2.4,16.40625,11.0,6.0,21.0,1.0,90,1.0,2,0.0
