Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,RAM_Pct,Requests,Total_CPU,Total_RAM,Success,HPA_Target,Throughput,Enhancement,Forecast
C1,1,0.6475477301089532,32.7,26.4,1,2.4,17.1875,26.0,6.0,22.0,1.0,50,1.0,0,0.0
C1,2,0.4894065094559651,50.0,17.4,1,0.8,17.1875,5.0,2.0,22.0,1.0,50,1.0,1,0.0
C1,3,0.4894065094559651,50.0,17.5,1,0.8,17.1875,3.0,2.0,22.0,1.0,50,3.0,2,0.0
C1,4,0.7655148417576507,17.9,17.6,1,4.0,17.1875,11.0,10.0,22.0,1.0,50,3.0,2,0.0
C1,5,0.7541437003574938,17.8,17.5,1,1.2,17.1875,5.0,3.0,22.0,1.0,50,2.0,0,0.0
C1,6,0.758951238880883,17.7,17.4,1,2.4,17.1875,15.0,6.0,22.0,1.0,50,1.0,0,0.0
C1,7,0.763858250896098,18.0,17.5,1,3.6,17.1875,14.0,9.0,22.0,1.0,50,2.0,1,0.0
C1,8,0.4894065094559651,50.0,17.8,1,0.8,17.1875,2.0,2.0,22.0,1.0,50,1.0,2,0.0
C1,9,0.4909858056206518,50.0,17.5,1,1.2,17.1875,3.0,3.0,22.0,1.0,50,3.0,1,0.0
C1,10,0.6655552192464198,17.7,17.5,1,3.2,17.1875,12.0,8.0,22.0,1.0,90,2.0,0,0.0
C1,11,0.6641844064673916,18.0,17.6,1,1.6,17.1875,13.0,4.0,22.0,1.0,90,1.0,2,0.0
C1,12,0.6648537330978317,17.8,17.5,1,2.4,17.1875,5.0,6.0,22.0,1.0,90,3.0,0,0.0
C1,13,0.6659183675801024,18.4,17.5,1,3.6,17.1875,14.0,9.0,22.0,1.0,90,2.0,1,0.0
C1,14,0.40070356569969146,50.0,17.7,1,1.2,17.1875,3.0,3.0,22.0,1.0,90,3.0,2,0.0
C1,15,0.6652003871959242,17.8,17.5,1,2.8,17.1875,8.0,7.0,22.0,1.0,90,3.0,1,0.0
C1,16,0.4964326804662529,39.199999999999996,26.3,1,2.4,17.1875,21.0,6.0,22.0,1.0,90,1.0,1,0.0
C1,17,0.6638614604365336,17.6,17.5,1,1.2,17.1875,5.0,3.0,22.0,1.0,90,2.0,1,0.0
C1,18,0.6670591094997571,17.9,17.5,1,4.8,17.1875,14.0,12.0,22.0,1.0,90,3.0,0,0.0
