Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,RAM_Pct,Requests,Total_CPU,Total_RAM,Success,HPA_Target,Throughput,Enhancement,Forecast
C1,1,-0.04202904670702376,189.0,107.5,1,23.2,17.1875,148.0,58.0,22.0,1.0,50,2.0,0,0.0
C1,2,0.08295950684128203,138.9,83.3,1,21.6,17.1875,83.0,54.0,22.0,1.0,50,3.0,0,0.0
C1,3,0.006494573459556757,173.1,100.1,1,24.8,17.1875,104.0,62.0,22.0,1.0,50,3.0,0,0.0
C1,4,0.08243319105180835,139.1,81.0,1,21.6,17.1875,84.0,54.0,22.0,1.0,50,3.0,2,0.0
C1,5,0.05991040202116049,119.4,67.5,1,4.8,17.1875,67.0,12.0,22.0,1.0,50,1.0,2,0.0
C1,6,0.005804438334197554,157.4,92.39999999999999,1,15.2,17.1875,94.0,38.0,22.0,1.0,50,2.0,2,0.0
C1,7,0.060121525541479315,125.2,68.0,1,8.4,17.1875,79.0,21.0,22.0,1.0,50,1.0,0,0.0
C1,8,0.11407354656023724,122.39999999999999,73.5,1,18.8,17.1875,77.0,47.0,22.0,1.0,50,3.0,0,0.0
C1,9,-0.0704905165637264,175.5,94.8,1,8.8,17.1875,94.0,22.0,22.0,1.0,50,1.0,0,0.0
C1,10,0.4909858056206518,50.0,17.4,1,1.2,17.1875,8.0,3.0,22.0,1.0,50,1.0,1,0.0
C1,11,0.15204230150284906,98.4,54.699999999999996,1,13.2,17.1875,53.0,33.0,22.0,1.0,50,3.0,1,0.0
C1,12,0.757337347487159,17.8,17.4,1,2.0,17.1875,15.0,5.0,22.0,1.0,50,1.0,2,0.0
C1,13,-0.07283059567283282,181.79999999999998,101.8,1,12.0,17.1875,134.0,30.0,22.0,1.0,50,1.0,0,0.0
C1,14,0.05873383680261621,124.39999999999999,71.4,1,7.6,17.1875,78.0,19.0,22.0,1.0,50,1.0,1,0.0
C1,15,0.6485654176625977,32.4,25.6,1,2.0,17.1875,20.0,5.0,22.0,1.0,50,1.0,2,0.0
C1,16,-0.006491185876123767,160.70000000000002,92.0,1,14.4,17.1875,95.0,36.0,22.0,1.0,50,2.0,2,0.0
C1,17,-0.02037891903216324,191.5,107.7,1,30.4,17.1875,132.0,76.0,22.0,1.0,50,3.0,0,0.0
C1,18,0.10024099035144043,126.3,72.1,1,18.0,17.1875,72.0,45.0,22.0,1.0,50,3.0,0,0.0
C1,19,0.24179268369298584,55.5,42.7,1,8.0,17.1875,44.0,20.0,22.0,1.0,50,2.0,1,0.0
C1,20,0.06289975719749966,145.2,82.69999999999999,1,20.8,17.1875,83.0,52.0,22.0,1.0,50,3.0,0,0.0
C1,21,0.5686368980173747,43.6,34.3,1,6.4,17.1875,37.0,16.0,22.0,1.0,50,2.0,0,0.0
C1,22,0.10256861729232278,117.2,71.7,1,13.2,17.1875,77.0,33.0,22.0,1.0,50,2.0,2,0.0
C1,23,0.06904241682341539,142.2,84.2,1,20.4,17.1875,81.0,51.0,22.0,1.0,50,3.0,1,0.0
C1,24,0.15760876888260794,95.60000000000001,53.699999999999996,1,12.8,17.1875,59.0,32.0,22.0,1.0,50,3.0,0,0.0
C1,25,-0.07471962353231576,171.2,96.8,1,5.2,17.1875,91.0,13.0,22.0,1.0,50,1.0,1,0.0
C1,26,-0.02458097736238929,155.4,93.5,1,7.2,17.1875,91.0,18.0,22.0,1.0,50,1.0,2,0.0
C1,27,0.6987104359868719,17.7,17.4,1,4.0,17.1875,18.0,10.0,22.0,1.0,70,2.0,0,0.0
C1,28,-0.12193122081937852,186.6,104.6,1,23.6,17.1875,104.0,59.0,22.0,1.0,70,3.0,2,0.0
C1,29,-0.04153607330855802,141.8,81.60000000000001,1,13.6,17.1875,81.0,34.0,22.0,1.0,70,2.0,1,0.0
C1,30,-0.08243137840935755,187.5,104.7,1,33.2,17.1875,137.0,83.0,22.0,1.0,70,3.0,0,0.0
C1,31,-0.19358330765183446,197.6,112.3,1,12.0,17.1875,154.0,30.0,22.0,1.0,70,1.0,1,0.0
C1,32,0.49072702398422885,43.6,33.6,1,3.6,17.1875,30.0,9.0,22.0,1.0,70,1.0,0,0.0
C1,33,-0.09285186278224222,161.3,104.4,1,13.6,17.1875,90.0,34.0,22.0,1.0,70,2.0,1,0.0
C1,34,-0.020593138913186954,144.4,84.2,1,21.2,17.1875,89.0,53.0,22.0,1.0,70,3.0,0,0.0
C1,35,-0.12909575857981698,180.4,95.10000000000001,1,17.6,17.1875,91.0,44.0,22.0,1.0,70,2.0,0,0.0
C1,36,-0.22905817556326574,210.60000000000002,117.5,1,11.6,17.1875,162.0,29.0,22.0,1.0,70,1.0,0,0.0
C1,37,-0.002665606310466695,131.8,75.89999999999999,1,17.2,17.1875,75.0,43.0,22.0,1.0,70,3.0,0,0.0
C1,38,0.039165310480560156,113.19999999999999,63.0,1,15.2,17.1875,62.0,38.0,22.0,1.0,70,3.0,2,0.0
C1,39,-0.0009002808264235718,123.89999999999999,69.7,1,11.6,17.1875,79.0,29.0,22.0,1.0,70,2.0,2,0.0
C1,40,-0.037529985511859904,141.3,81.5,1,14.4,17.1875,88.0,36.0,22.0,1.0,70,2.0,1,0.0
C1,41,-0.07555738935494616,166.5,93.7,1,22.0,17.1875,97.0,55.0,22.0,1.0,70,3.0,2,0.0
C1,42,0.1693845328821231,54.699999999999996,43.1,1,7.6,17.1875,44.0,19.0,22.0,1.0,70,2.0,2,0.0
C1,43,-0.16252440320315814,183.0,105.89999999999999,1,9.6,17.1875,111.0,24.0,22.0,1.0,70,1.0,1,0.0
C1,44,-0.18951816684386508,195.1,102.7,1,11.2,17.96875,134.0,28.0,23.0,1.0,70,1.0,2,0.0
C1,45,0.031405229468958795,105.1,69.8,1,5.6,17.1875,75.0,14.0,22.0,1.0,70,1.0,2,0.0
C1,46,-0.11039335216128404,164.1,95.10000000000001,1,10.4,17.1875,125.0,26.0,22.0,1.0,70,1.0,0,0.0
