Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,RAM_Pct,Requests,Total_CPU,Total_RAM,Success,HPA_Target,Throughput,Enhancement,Forecast
C1,1,0.11867273649449292,95.8,47.800000000000004,1,4.0,16.40625,41.0,10.0,21.0,1.0,50,1.0,0,0.0
C1,2,-0.035271983479547075,180.5,106.2,1,19.6,16.40625,134.0,49.0,21.0,1.0,50,2.0,1,0.0
C1,3,-0.011813182675044664,168.2,93.60000000000001,1,17.6,16.40625,100.0,44.0,21.0,1.0,50,2.0,0,0.0
C1,4,-0.07004341589735313,199.0,108.60000000000001,1,22.8,16.40625,103.0,57.0,21.0,1.0,50,3.0,1,0.0
C1,5,-0.05928859484724677,196.20000000000002,106.89999999999999,1,23.6,16.40625,151.0,59.0,21.0,1.0,50,2.0,0,0.0
C1,6,-0.020187450788254097,185.70000000000002,103.7,1,26.4,16.40625,169.0,66.0,21.0,1.0,50,2.0,0,0.0
C1,7,0.018897946850880643,140.2,81.10000000000001,1,8.0,16.40625,85.0,20.0,21.0,1.0,50,1.0,0,0.0
C1,8,0.051440142694544694,138.0,83.0,1,14.0,16.40625,83.0,35.0,21.0,1.0,50,2.0,2,0.0
C1,9,0.7557347567600108,18.0,17.4,1,1.6,16.40625,12.0,4.0,21.0,1.0,50,1.0,0,0.0
C1,10,0.039023075527535284,163.20000000000002,98.5,1,26.4,16.40625,100.0,66.0,21.0,1.0,50,3.0,1,0.0
C1,11,-0.08528532543803319,196.8,106.6,1,18.0,16.40625,116.0,45.0,21.0,1.0,50,2.0,0,0.0
C1,12,0.22885825089609815,53.3,41.9,1,3.6,16.40625,41.0,9.0,21.0,1.0,50,1.0,0,0.0
C1,13,0.15147747209783555,99.3,54.6,1,13.6,16.40625,55.0,34.0,21.0,1.0,50,3.0,0,0.0
C1,14,0.18448016618909144,75.30000000000001,44.3,1,6.8,17.1875,42.0,17.0,22.0,1.0,50,2.0,0,0.0
C1,15,0.5887611642218549,43.1,32.9,1,10.0,16.40625,37.0,25.0,21.0,1.0,50,3.0,2,0.0
C1,16,-0.03102880970132152,193.89999999999998,108.3,1,29.2,16.40625,122.0,73.0,21.0,1.0,50,3.0,0,0.0
