Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,RAM_Pct,Requests,Total_CPU,Total_RAM,Success,HPA_Target,Throughput,Enhancement,Forecast
C2,1,0.5120384371995992,33.2,20.6,4,1.2,15.234375,26.0,12.0,78.0,1.0,50,1.0,0,0.0
C2,2,0.48822988674158085,50.0,17.9,4,0.5,15.234375,5.0,5.0,78.0,1.0,50,1.0,1,0.0
C2,3,0.48901354867190067,50.0,17.8,4,0.7,15.234375,3.0,7.0,78.0,1.0,50,3.0,2,0.0
C2,4,0.7537477650544058,18.3,17.9,4,1.1,15.234375,11.0,11.0,78.0,1.0,50,3.0,2,0.0
C2,5,0.7521714434087428,18.2,17.9,4,0.7,15.234375,5.0,7.0,78.0,1.0,50,2.0,0,0.0
C2,6,0.6294189672863264,18.599999999999998,17.9,1,1.6,16.40625,15.0,4.0,21.0,1.0,50,1.0,0,0.0
C2,7,0.7622119447177791,18.3,18.0,1,3.2,16.40625,14.0,8.0,21.0,1.0,50,2.0,1,0.0
C2,8,0.4894065094559651,50.0,17.6,1,0.8,16.40625,2.0,2.0,21.0,1.0,50,1.0,2,0.0
C2,9,0.49257686202316864,50.0,17.7,1,1.6,17.1875,3.0,4.0,22.0,1.0,50,3.0,1,0.0
C2,10,0.6652003871959242,18.2,17.8,1,2.8,16.40625,12.0,7.0,21.0,1.0,90,2.0,0,0.0
C2,11,0.6641844064673916,18.0,17.7,1,1.6,16.40625,13.0,4.0,21.0,1.0,90,1.0,2,0.0
C2,12,0.6648537330978317,18.3,17.9,1,2.4,16.40625,5.0,6.0,21.0,1.0,90,3.0,0,0.0
C2,13,0.6659183675801024,18.2,17.8,1,3.6,16.40625,14.0,9.0,21.0,1.0,90,2.0,1,0.0
C2,14,0.4003882500542819,50.0,17.8,1,0.8,16.40625,3.0,2.0,21.0,1.0,90,3.0,2,0.0
C2,15,0.6652003871959242,18.2,17.7,1,2.8,16.40625,8.0,7.0,21.0,1.0,90,3.0,1,0.0
C2,16,0.5501493187480934,33.0,26.4,1,1.6,16.40625,21.0,4.0,21.0,1.0,90,1.0,1,0.0
C2,17,0.6641844064673916,18.3,17.9,1,1.6,16.40625,5.0,4.0,21.0,1.0,90,2.0,1,0.0
C2,18,0.6674569236982506,18.1,17.7,1,5.2,16.40625,14.0,13.0,21.0,1.0,90,3.0,0,0.0
C2,19,0.5507902570315839,33.300000000000004,26.0,1,5.2,16.40625,26.0,13.0,21.0,1.0,90,2.0,1,0.0
C2,20,0.6638614604365336,17.9,17.6,1,1.2,16.40625,11.0,3.0,21.0,1.0,90,1.0,0,0.0
C2,21,0.5539012147629151,32.9,26.3,1,4.8,16.40625,24.0,12.0,21.0,1.0,90,2.0,0,0.0
C2,22,0.6645151185065423,18.0,17.7,1,2.0,16.40625,16.0,5.0,21.0,1.0,90,1.0,0,0.0
C2,23,0.6641844064673916,18.4,17.7,1,1.6,16.40625,7.0,4.0,21.0,1.0,90,2.0,1,0.0
C2,24,0.6652003871959242,18.0,17.8,1,2.8,16.40625,8.0,7.0,21.0,1.0,90,3.0,2,0.0
C2,25,0.5482491198616075,33.5,27.2,1,4.4,16.40625,23.0,11.0,21.0,1.0,90,2.0,0,0.0
C2,26,0.6670591094997571,18.1,17.8,1,4.8,16.40625,14.0,12.0,21.0,1.0,90,3.0,0,0.0
