Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,Requests,Success,HPA_Target,Throughput,Forecast
C2,1,0.058734378152687276,92.60000000000001,50.3,1,28.799999237060547,82.0,1.0,90,2.0,70.5
C2,2,-0.11200532112373239,176.3,76.5,4,62.29999923706055,268.0,1.0,50,2.0,102.25
C2,3,0.2700354132276554,66.10000000000001,38.9,4,44.900001525878906,200.0,1.0,70,2.0,98.01667022705078
C2,4,0.29550955465248635,62.0,38.4,4,68.69999694824219,309.0,1.0,90,3.0,103.74333190917969
C2,5,0.19779132211060108,73.2,39.9,4,32.29999923706055,151.0,1.0,70,1.0,109.44599914550781
C2,6,0.6443333333333334,49.2,35.3,5,31.200000762939453,169.0,1.0,30,1.0,122.06759643554688
C2,7,0.6531020569369066,47.800000000000004,31.6,5,38.880001068115234,255.0,1.0,50,3.0,127.24056243896484
C2,8,0.6768299919607618,40.599999999999994,28.0,7,9.600000381469727,83.0,1.0,30,1.0,121.27767181396484
C2,9,0.7647227751804537,18.1,17.8,7,0.7428571581840515,24.0,1.0,50,2.0,96.7666015625
C2,10,0.6454483118340262,44.900000000000006,30.099999999999998,7,27.371429443359375,200.0,1.0,50,2.0,84.0599594116211
C2,11,0.7000000000000001,44.0,29.3,7,32.228572845458984,232.0,1.0,30,2.0,80.83597564697266
C2,12,0.6082240584955513,32.599999999999994,21.8,7,8.0,123.0,1.0,70,3.0,82.76824951171875
C2,13,0.6135410748316615,33.0,23.2,7,11.199999809265137,165.0,1.0,70,3.0,77.92761993408203
C2,14,0.6335267550965133,28.5,21.0,7,2.971428632736206,42.0,1.0,70,1.0,65.15657043457031
C2,15,0.6054705389805759,28.6,20.2,7,5.4285712242126465,111.0,1.0,90,3.0,56.960609436035156
C2,16,0.38414071547806977,46.800000000000004,31.3,4,16.571428298950195,122.0,1.0,70,1.0,60.97636413574219
C2,17,0.7344033940555171,34.2,24.0,3,7.066666603088379,66.0,1.0,30,2.0,62.18581771850586
C2,18,0.5597735682744981,34.3,24.400000000000002,3,11.199999809265137,114.0,1.0,90,3.0,63.04482650756836
C2,19,0.6214681020912114,44.2,30.099999999999998,3,19.733333587646484,116.0,1.0,50,2.0,55.026893615722656
C2,20,0.24952500000000005,90.89999999999999,45.3,4,58.79999923706055,212.0,1.0,50,2.0,59.94947052001953
C2,21,0.50295262907502,40.4,27.7,4,10.5,64.0,1.0,90,1.0,66.36968231201172
C2,22,0.5818966998748432,43.9,29.5,4,29.799999237060547,207.0,1.0,70,3.0,71.6884765625
C2,23,0.6459166666666667,49.9,34.5,4,32.400001525878906,174.0,1.0,30,2.0,72.34642028808594
C2,24,0.6733397698535952,38.800000000000004,26.5,4,20.299999237060547,162.0,1.0,50,3.0,71.40785217285156
C2,25,0.32241888594066476,50.1,35.2,4,47.099998474121094,255.0,1.0,70,3.0,72.97804260253906
C2,26,0.2679399024637934,54.699999999999996,36.6,4,36.79999923706055,182.0,1.0,70,2.0,74.4534912109375
C2,27,0.1174494139762373,68.5,40.0,4,25.899999618530273,117.0,1.0,90,1.0,83.73876190185547
C2,28,0.8489984091575853,17.9,17.5,4,1.100000023841858,28.0,1.0,30,2.0,79.84325408935547
C2,29,0.7506847568690308,32.9,22.3,4,6.099999904632568,72.0,1.0,30,2.0,70.17262268066406
C2,30,0.20225234781987378,53.400000000000006,35.8,4,19.899999618530273,97.0,1.0,70,1.0,61.70357131958008
C2,31,0.4802770226724762,47.7,31.5,4,11.699999809265137,73.0,1.0,70,1.0,64.48880767822266
C2,32,0.48750588599956024,48.7,33.5,4,16.799999237060547,86.0,1.0,70,1.0,72.82662200927734
C2,33,0.5820420910379511,48.4,33.5,2,23.399999618530273,102.0,1.0,50,2.0,71.69596862792969
C2,34,0.23525,99.0,49.7,2,22.399999618530273,70.0,1.0,30,1.0,70.61758422851562
C2,35,0.25780000000000003,90.80000000000001,47.800000000000004,2,45.0,148.0,1.0,50,2.0,68.37055206298828
C2,36,0.5730888059854089,32.4,22.2,2,7.800000190734863,75.0,1.0,90,3.0,63.5556640625
C2,37,0.8510615300280377,18.2,17.8,2,1.600000023841858,33.0,1.0,30,3.0,52.80006408691406
C2,38,0.7592202940939534,32.5,22.3,2,7.400000095367432,66.0,1.0,30,3.0,39.41337203979492
C2,39,0.4742837151110147,44.900000000000006,31.3,2,18.600000381469727,98.0,1.0,90,2.0,34.581356048583984
C2,40,0.7475031818482296,32.7,22.5,2,4.800000190734863,42.0,1.0,30,2.0,33.015480041503906
C2,41,0.6079935402225026,34.2,26.0,2,13.0,90.0,1.0,70,3.0,33.14262008666992
C2,42,0.47882145673168325,43.8,31.2,2,15.399999618530273,92.0,1.0,90,2.0,32.818904876708984
C2,43,0.5627737011694615,33.0,22.3,2,2.799999952316284,24.0,1.0,90,1.0,33.02467727661133
C2,44,0.76023135302923,31.9,21.3,2,6.199999809265137,66.0,1.0,30,3.0,32.08147430419922
C2,45,0.09879999999999999,142.8,67.2,4,53.5,226.0,1.0,50,2.0,40.448883056640625
C2,46,0.2912930439466671,42.8,27.900000000000002,14,44.327274322509766,496.0,1.0,30,2.0,75.33599853515625
C2,47,0.7349477260761113,33.8,23.5,14,64.17142486572266,924.0,1.0,90,3.0,134.40159606933594
C2,48,0.13198158485665773,28.8,20.2,30,1.9866666793823242,72.0,1.0,30,1.0,164.37429809570312
C2,49,0.6805316636743187,23.5,19.099999999999998,30,3.493333339691162,174.0,1.0,70,3.0,157.0245819091797
C2,50,0.8298989035258916,23.7,19.3,30,4.773333549499512,207.0,1.0,30,3.0,120.74807739257812
C2,51,0.7676448344320828,18.3,18.1,30,1.5199999809265137,108.0,1.0,50,3.0,94.18218231201172
C2,52,0.6706458297506052,21.1,18.700000000000003,30,1.2799999713897705,58.0,1.0,90,1.0,78.24264526367188
C2,53,-0.47329397075211815,32.5,21.8,4,2.0,44.0,1.0,90,1.0,65.34558868408203
C2,54,0.5918937114789423,39.0,26.8,4,21.100000381469727,168.0,1.0,70,3.0,60.274017333984375
C2,55,0.6046798923697058,27.799999999999997,19.599999999999998,3,5.300000190734863,81.0,1.0,90,3.0,53.09774398803711
C2,56,0.31362500000000004,70.5,40.099999999999994,3,33.400001525878906,130.0,1.0,30,2.0,51.59197998046875
C2,57,0.6737722099875699,43.5,28.1,3,11.866666793823242,88.0,1.0,30,2.0,49.08852005004883
C2,58,0.7774413720367368,28.8,21.3,3,3.3333332538604736,48.0,1.0,30,2.0,47.18644714355469
C2,59,0.6660303179719433,33.6,23.599999999999998,3,7.333333492279053,70.0,1.0,50,2.0,42.04520034790039
C2,60,0.5648697357936828,44.1,27.5,3,6.133333206176758,46.0,1.0,50,1.0,39.22711944580078
C2,61,0.6246172826097275,44.1,29.9,3,20.266666412353516,118.0,1.0,50,2.0,42.202938079833984
C2,62,0.6533434317034048,38.4,25.6,2,16.600000381469727,108.0,1.0,50,3.0,44.12176513671875
C2,63,0.656,48.800000000000004,35.2,2,28.0,116.0,1.0,30,2.0,46.8730583190918
C2,64,0.4713668046819038,45.3,32.0,2,19.0,96.0,1.0,90,2.0,47.057167053222656
C2,65,0.5418704874355724,47.9,31.4,2,9.0,44.0,1.0,50,1.0,48.23430252075195
C2,66,0.6059037048449167,39.300000000000004,27.400000000000002,2,5.400000095367432,35.0,1.0,50,1.0,45.8739128112793
C2,67,0.1527787540628853,53.5,37.8,2,23.399999618530273,100.0,1.0,90,2.0,44.72434997558594
C2,68,0.12627565538626187,55.1,35.2,1,16.200000762939453,90.0,1.0,90,2.0,44.16794204711914
C2,69,0.22260000000000002,103.6,63.6,1,49.20000076293945,116.0,1.0,50,2.0,46.90076446533203
C2,70,0.7515720870428331,32.300000000000004,22.4,2,7.0,63.0,1.0,30,3.0,44.67379379272461
C2,71,0.10090487404102368,86.0,43.8,2,36.599998474121094,138.0,1.0,90,2.0,46.5376091003418
C2,72,0.8425125806332836,18.0,17.7,3,1.4666666984558105,38.0,1.0,30,2.0,42.45589828491211
C2,73,0.6803688375515679,18.1,17.7,3,0.800000011920929,16.0,1.0,90,2.0,38.27354049682617
C2,74,0.6808721065332982,18.3,17.9,3,1.4666666984558105,26.0,1.0,90,2.0,28.297456741333008
C2,75,0.6812893625812153,18.1,17.8,3,2.0,45.0,1.0,90,3.0,21.778474807739258
C2,76,0.6985996909776333,29.1,20.9,3,5.199999809265137,56.0,1.0,50,2.0,20.533750534057617
C2,77,0.8291687325228745,21.0,17.8,1,2.4000000953674316,19.0,1.0,30,1.0,20.586917877197266
C2,78,0.15269999999999997,123.2,59.4,3,56.13333511352539,222.0,1.0,50,3.0,28.485483169555664
C2,79,0.5139196532229753,39.5,26.8,3,12.533333778381348,98.0,1.0,90,2.0,36.02462387084961
C2,80,0.5140496982024196,49.0,34.3,3,24.66666603088379,124.0,1.0,70,2.0,46.28144073486328
C2,81,0.6822655040880945,44.6,30.200000000000003,3,18.799999237060547,110.0,1.0,30,2.0,49.902198791503906
C2,82,0.029127651138016897,82.69999999999999,42.1,6,93.06666564941406,321.0,1.0,50,3.0,59.807987213134766
C2,83,0.6902843405288516,28.5,19.3,6,1.6666666269302368,25.0,1.0,50,1.0,60.81812286376953
C2,84,0.7772631997402409,28.2,20.1,6,1.9333332777023315,48.0,1.0,30,2.0,57.29087448120117
C2,85,0.6624166666666667,48.099999999999994,31.7,6,32.400001525878906,202.0,1.0,30,2.0,54.3745231628418
C2,86,0.5849221713794561,48.4,32.5,6,20.200000762939453,125.0,1.0,50,1.0,65.95804595947266
C2,87,0.5696696429097947,32.2,20.5,6,2.2666666507720947,38.0,1.0,90,1.0,74.77482604980469
C2,88,0.8213353991895412,23.599999999999998,19.099999999999998,6,2.4000000953674316,56.0,1.0,30,2.0,70.3315658569336
C2,89,0.48920307933741464,43.1,28.5,6,17.733333587646484,154.0,1.0,90,2.0,61.26560592651367
C2,90,0.6390236587873729,39.4,26.599999999999998,4,17.266666412353516,150.0,1.0,50,2.0,60.759361267089844
C2,91,0.242456734450676,81.8,42.1,5,88.53333282470703,321.0,1.0,70,3.0,70.98895263671875
C2,92,0.15649030157348445,50.6,35.2,5,21.440000534057617,117.0,1.0,90,1.0,82.46003723144531
C2,93,0.6569166666666667,48.7,34.1,5,42.880001068115234,222.0,1.0,50,2.0,94.14269256591797
C2,94,0.6268576829696868,49.9,34.0,5,75.91999816894531,400.0,1.0,90,2.0,113.55227661132812
C2,95,0.5154102877916955,44.8,29.9,8,24.5,200.0,1.0,50,2.0,122.93136596679688
C2,96,0.5155655396599674,39.6,27.0,13,46.150001525878906,399.0,1.0,30,3.0,131.49215698242188
C2,97,0.6895280758665709,34.7,24.299999999999997,13,35.261539459228516,462.0,1.0,70,2.0,140.761962890625
