Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,RAM_Pct,Requests,Total_CPU,Total_RAM,Success,HPA_Target,Throughput,Enhancement,Forecast
C1,1,0.6438049321986072,31.8,21.9,2,1.6,16.40625,26.0,8.0,42.0,1.0,50,1.0,0,0.0
C1,2,0.7533525682758075,17.4,17.1,2,1.0,16.40625,5.0,5.0,42.0,1.0,50,2.0,2,0.0
C1,3,0.4894065094559651,50.0,17.0,2,0.8,16.40625,3.0,4.0,42.0,1.0,50,3.0,2,0.0
C1,4,0.757337347487159,18.0,17.2,2,2.0,16.40625,11.0,10.0,42.0,1.0,50,3.0,1,0.0
C1,5,0.4894065094559651,50.0,17.2,2,0.8,16.40625,5.0,4.0,42.0,1.0,50,1.0,1,0.0
C1,6,0.7621224817308418,17.7,17.3,1,5.2,17.1875,15.0,13.0,22.0,1.0,50,3.0,1,0.0
C1,7,0.8500762134230411,17.9,17.4,1,3.2,17.1875,14.0,8.0,22.0,1.0,30,2.0,1,0.0
C1,8,0.5765839711106497,50.0,17.8,1,0.8,17.1875,2.0,2.0,22.0,1.0,30,2.0,1,0.0
C1,9,0.5765839711106497,50.0,17.4,1,0.8,17.1875,3.0,2.0,22.0,1.0,30,1.0,2,0.0
C1,10,0.843222663187408,18.0,17.3,1,1.6,17.1875,12.0,4.0,22.0,1.0,30,1.0,2,0.0
C1,11,0.8500762134230411,18.1,17.4,1,3.2,17.1875,13.0,8.0,22.0,1.0,30,2.0,1,0.0
C1,12,0.843222663187408,17.5,17.2,1,1.6,17.1875,5.0,4.0,22.0,1.0,30,3.0,1,0.0
C1,13,0.8500762134230411,18.0,17.3,1,3.2,17.1875,14.0,8.0,22.0,1.0,30,2.0,1,0.0
C1,14,0.5765839711106497,50.0,17.5,1,0.8,17.1875,3.0,2.0,22.0,1.0,30,2.0,0,0.0
C1,15,0.580064768450566,50.0,17.4,1,1.6,17.1875,8.0,4.0,22.0,1.0,30,1.0,2,0.0
C1,16,0.7523488640701417,33.0,26.1,1,7.2,17.1875,21.0,18.0,22.0,1.0,30,3.0,1,0.0
C1,17,0.843222663187408,17.7,17.3,1,1.6,17.1875,5.0,4.0,22.0,1.0,30,2.0,1,0.0
C1,18,0.8567577352788383,17.7,17.3,1,4.8,17.1875,14.0,12.0,22.0,1.0,30,3.0,0,0.0
C1,19,0.7325323537739183,33.4,27.099999999999998,1,3.2,17.1875,26.0,8.0,22.0,1.0,30,1.0,1,0.0
