Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,RAM_Pct,Requests,Total_CPU,Total_RAM,Success,HPA_Target,Throughput,Enhancement,Forecast
C1,1,-0.4982573036281234,39.800000000000004,26.4,28,14.65,15.8203125,731.0,586.0,324.0,1.0,50,3.0,1,0.0
C1,2,0.6830385591845538,29.2,20.2,28,3.5714285,15.764509,457.0,250.0,565.0,1.0,50,2.0,1,0.0
C1,3,0.682553833761725,28.2,20.299999999999997,28,1.2857143,15.736608,141.0,90.0,564.0,1.0,50,2.0,2,0.0
C1,4,0.7649306194144512,28.5,19.7,28,0.74285716,15.736608,125.0,52.0,564.0,1.0,30,1.0,0,0.0
C1,5,0.7710709702916443,27.799999999999997,19.7,28,0.74285716,15.736608,134.0,52.0,564.0,1.0,30,1.0,0,0.0
C1,6,-0.2979774323981222,34.5,23.7,4,0.8,15.736608,140.0,56.0,564.0,1.0,30,1.0,1,0.0
C1,7,0.21132302182048307,105.7,52.900000000000006,2,18.0,16.40625,147.0,90.0,42.0,1.0,30,3.0,0,0.0
C1,8,0.20647224072637124,112.0,59.5,2,16.0,16.40625,137.0,80.0,42.0,1.0,30,3.0,1,0.0
C1,9,0.18675961811917036,119.9,62.5,2,16.4,16.40625,145.0,82.0,42.0,1.0,30,3.0,0,0.0
C1,10,0.12158957723165417,115.8,61.699999999999996,2,16.6,16.40625,144.0,83.0,42.0,1.0,50,3.0,2,0.0
C1,11,0.06315270689758781,120.1,64.0,2,6.0,16.40625,147.0,30.0,42.0,1.0,50,1.0,1,0.0
C1,12,0.13066174225561755,114.4,60.6,2,17.8,16.40625,143.0,89.0,42.0,1.0,50,3.0,0,0.0
C1,13,0.033764420858275274,132.89999999999998,61.6,2,7.0,16.40625,134.0,35.0,42.0,1.0,50,1.0,1,0.0
C1,14,0.010120949961887796,155.29999999999998,79.8,1,16.8,16.40625,134.0,84.0,42.0,1.0,50,3.0,1,0.0
C1,15,-0.013973580265313007,189.6,107.7,1,30.8,16.40625,141.0,77.0,21.0,1.0,50,3.0,0,0.0
