Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,Requests,Success,HPA_Target,Throughput,Forecast
C1,1,0.5654561540247693,32.9,26.1,1,4.800000190734863,26.0,1.0,90,1.0,63.0
C1,2,0.43181866503105076,50.0,17.3,1,0.800000011920929,5.0,1.0,70,1.0,34.0
C1,3,0.48844723244420896,50.0,17.6,1,0.4000000059604645,3.0,1.0,50,1.0,24.933332443237305
C1,4,0.7137749141875284,18.1,17.6,1,4.0,33.0,1.0,70,3.0,17.49333381652832
C1,5,0.6809751861440221,18.9,17.5,1,1.600000023841858,10.0,1.0,90,2.0,13.029333114624023
C1,6,0.7836265182647975,17.8,17.4,1,5.599999904632568,45.0,1.0,50,3.0,11.950933456420898
C1,7,0.8654774278277694,17.7,17.4,1,5.199999809265137,42.0,1.0,30,3.0,11.703893661499023
C1,8,0.40536883755156783,50.0,17.4,1,0.800000011920929,6.0,1.0,90,3.0,11.155669212341309
C1,9,0.43101000866160666,50.0,17.3,1,0.4000000059604645,3.0,1.0,70,1.0,9.22673511505127
C1,10,0.7084760865278696,17.6,17.3,1,1.600000023841858,12.0,1.0,70,1.0,7.802707672119141
C1,11,0.7679480189220103,17.9,17.4,1,1.600000023841858,13.0,1.0,50,1.0,8.414958000183105
C1,12,0.6812893625812153,17.7,17.3,1,2.0,15.0,1.0,90,3.0,9.048974990844727
C1,13,0.7128573394516842,17.7,17.4,1,3.5999999046325684,28.0,1.0,70,2.0,9.696051597595215
C1,14,0.49143651533961924,50.0,17.4,1,1.2000000476837158,6.0,1.0,50,2.0,8.750964164733887
C1,15,0.709325018440201,17.6,17.2,1,2.0,16.0,1.0,70,2.0,8.583911895751953
C1,16,0.6920609341108088,32.9,26.9,1,12.0,63.0,1.0,50,3.0,9.417014122009277
C1,17,0.6806683874147069,17.7,17.5,1,1.2000000476837158,10.0,1.0,90,2.0,10.183541297912598
C1,18,0.852702823555001,17.7,17.5,1,2.0,14.0,1.0,30,1.0,11.443458557128906
C1,19,0.7057642164174878,32.9,25.8,1,15.199999809265137,78.0,1.0,50,3.0,12.866074562072754
C1,20,0.8559587577917702,18.0,17.4,1,2.799999952316284,22.0,1.0,30,2.0,14.519644737243652
C1,21,0.6078192925857085,33.0,26.3,1,9.199999809265137,48.0,1.0,70,2.0,16.84511947631836
C1,22,0.8591758329899635,17.9,17.4,1,3.5999999046325684,32.0,1.0,30,2.0,16.907072067260742
C1,23,0.8543353991895412,17.9,17.3,1,2.4000000953674316,14.0,1.0,30,2.0,16.41090965270996
C1,24,0.5760615300280377,50.0,17.5,1,1.600000023841858,8.0,1.0,30,1.0,13.979879379272461
C1,25,0.6599057663364349,32.800000000000004,26.200000000000003,1,4.0,23.0,1.0,50,1.0,13.454594612121582
C1,26,0.7756653383512933,17.7,17.3,1,3.5999999046325684,28.0,1.0,50,2.0,14.07275676727295
C1,27,0.7076406626870005,17.7,17.2,1,1.2000000476837158,11.0,1.0,70,1.0,14.843653678894043
C1,28,0.7706240379858561,32.7,26.4,1,11.199999809265137,60.0,1.0,30,3.0,14.906192779541016
C1,29,0.3094858904435573,62.300000000000004,43.4,1,33.20000076293945,98.0,1.0,50,2.0,19.610382080078125
C1,30,0.709325018440201,17.7,17.3,1,2.0,13.0,1.0,70,1.0,22.699562072753906
C1,31,0.07290466711572331,114.0,63.6,2,88.80000305175781,192.0,1.0,50,3.0,30.419736862182617
C1,32,0.5702015933336756,37.6,25.2,2,10.800000190734863,72.0,1.0,70,2.0,33.31850814819336
C1,33,0.46161837380821846,49.9,37.900000000000006,2,12.199999809265137,50.0,1.0,70,1.0,39.99110412597656
C1,34,0.4676787827034512,44.1,30.3,2,9.399999618530273,48.0,1.0,90,1.0,41.861328125
C1,35,0.11211903786392222,79.5,42.0,2,34.599998474121094,130.0,1.0,90,2.0,46.85013198852539
C1,36,0.16588279631780706,116.4,62.300000000000004,2,55.0,131.0,1.0,70,1.0,60.64341354370117
C1,37,0.11764045636156772,91.5,43.7,5,63.7599983215332,266.0,1.0,50,2.0,80.25271606445312
C1,38,0.6003257166061424,33.0,22.5,9,8.977777481079102,136.0,1.0,30,2.0,92.41829681396484
C1,39,0.5770898996154162,31.5,20.5,9,3.4666666984558105,55.0,1.0,90,1.0,89.58431243896484
C1,40,0.6620747322061039,22.1,18.2,9,2.0444445610046387,81.0,1.0,90,3.0,73.7505874633789
