Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,Requests,Success,HPA_Target,Throughput,Forecast
C2,1,-2.8435489860844303,2049.4,847.9,64,3.799999952316284,26.0,1.0,50,1.0,63.0
C2,2,-1.513951168685608,11200.8,763.9,92,0.4193548262119293,15.0,1.0,70,3.0,34.0
C2,3,0.43102294609761116,50.0,17.8,92,0.40645161271095276,6.0,1.0,70,2.0,24.933332443237305
C2,4,0.7060358869817475,18.9,18.2,92,0.41290321946144104,11.0,1.0,70,1.0,17.49333381652832
C2,5,-0.4399096035803705,19.0,18.2,64,0.4193548262119293,10.0,1.0,90,2.0,13.029333114624023
C2,6,-1.8398722227580213,18.9,18.0,1,0.47096773982048035,45.0,1.0,90,3.0,11.950933456420898
C2,7,0.8510615300280377,18.2,17.8,1,1.600000023841858,14.0,1.0,30,1.0,11.703893661499023
C2,8,0.40507640868882416,50.0,17.8,1,0.4000000059604645,2.0,1.0,90,1.0,11.155669212341309
C2,9,0.40597518614402206,50.0,17.7,1,1.600000023841858,9.0,1.0,90,3.0,9.22673511505127
C2,10,0.6819403678361281,18.1,17.7,1,2.799999952316284,24.0,1.0,90,2.0,7.802707672119141
C2,11,0.709325018440201,18.0,17.6,1,2.0,13.0,1.0,70,1.0,8.414958000183105
C2,12,0.8494120147012151,18.1,17.6,1,1.2000000476837158,10.0,1.0,30,2.0,9.048974990844727
C2,13,0.6840840775133381,18.2,17.7,1,5.199999809265137,42.0,1.0,90,3.0,9.696051597595215
C2,14,0.43181866503105076,50.0,17.6,1,0.800000011920929,3.0,1.0,70,1.0,8.750964164733887
C2,15,0.6812893625812153,17.7,17.5,1,2.0,16.0,1.0,90,2.0,8.583911895751953
C2,16,0.5634557825344307,33.0,26.599999999999998,1,3.5999999046325684,21.0,1.0,90,1.0,9.417014122009277
C2,17,0.7084760865278696,17.8,17.5,1,1.600000023841858,10.0,1.0,70,2.0,10.183541297912598
C2,18,0.7651980189220102,20.299999999999997,17.6,1,1.600000023841858,14.0,1.0,50,1.0,11.443458557128906
C2,19,0.7033681355598175,32.599999999999994,25.6,1,14.0,78.0,1.0,50,3.0,12.866074562072754
C2,20,0.7679480189220103,18.0,17.6,1,1.600000023841858,11.0,1.0,50,1.0,14.519644737243652
C2,21,0.706000040084349,32.5,26.0,1,14.399999618530273,72.0,1.0,50,3.0,16.84511947631836
C2,22,0.6812893625812153,17.8,17.5,1,2.0,16.0,1.0,90,1.0,16.907072067260742
C2,23,0.6819403678361281,18.2,17.8,1,2.799999952316284,21.0,1.0,90,3.0,16.41090965270996
C2,24,0.8559587577917702,17.8,17.6,1,2.799999952316284,24.0,1.0,30,3.0,13.979879379272461
C2,25,0.593735219665456,33.300000000000004,26.0,1,4.800000190734863,23.0,1.0,70,1.0,13.454594612121582
C2,26,0.7084760865278696,17.8,17.4,1,1.600000023841858,14.0,1.0,70,1.0,14.07275676727295
C2,27,0.8591758329899635,17.9,17.7,1,3.5999999046325684,33.0,1.0,30,3.0,14.843653678894043
C2,28,0.590941580854195,33.4,26.4,1,4.0,20.0,1.0,70,1.0,14.906192779541016
C2,29,0.270975,83.1,43.5,2,37.400001525878906,147.0,1.0,30,3.0,19.610382080078125
C2,30,0.852702823555001,18.2,17.6,2,2.0,26.0,1.0,30,2.0,22.699562072753906
C2,31,0.20191009837007146,78.39999999999999,42.1,2,16.600000381469727,64.0,1.0,50,1.0,30.419736862182617
C2,32,0.7334827963178071,38.0,25.8,2,15.0,108.0,1.0,30,3.0,33.31850814819336
C2,33,0.6415833333333333,49.5,35.3,3,29.33333396911621,150.0,1.0,30,3.0,39.99110412597656
C2,34,0.5188800872045263,39.0,26.4,3,12.800000190734863,96.0,1.0,90,2.0,41.861328125
C2,35,0.5971698447865791,49.099999999999994,33.9,3,24.799999237060547,130.0,1.0,50,2.0,46.85013198852539
C2,36,0.22450144555364251,85.2,43.2,5,88.72000122070312,393.0,1.0,70,3.0,60.64341354370117
C2,37,0.44540599802970543,49.8,34.3,5,26.0,133.0,1.0,90,1.0,80.25271606445312
C2,38,0.6993184862897599,39.4,27.099999999999998,5,8.319999694824219,68.0,1.0,30,1.0,92.41829681396484
C2,39,0.6406481233708401,38.1,25.9,5,11.119999885559082,110.0,1.0,50,2.0,89.58431243896484
C2,40,0.6734745902483337,23.8,19.099999999999998,5,1.5199999809265137,27.0,1.0,70,1.0,73.7505874633789
C2,41,0.5585415410590083,34.3,24.8,5,10.239999771118164,106.0,1.0,90,2.0,62.25035095214844
C2,42,0.7652353463116929,18.4,17.8,5,0.8799999952316284,26.0,1.0,50,2.0,49.75020980834961
C2,43,0.44751714270539306,32.4,20.5,2,1.8666666746139526,26.0,1.0,90,1.0,42.11679458618164
C2,44,0.7080566910051945,18.2,17.8,2,1.399999976158142,16.0,1.0,70,1.0,32.60340881347656
C2,45,0.5703927164260761,32.599999999999994,22.700000000000003,2,7.0,63.0,1.0,90,3.0,27.962045669555664
C2,46,0.7063206508060584,38.9,26.9,2,9.0,64.0,1.0,30,2.0,25.97722816467285
C2,47,0.6694583736819039,33.2,25.1,1,9.199999809265137,48.0,1.0,50,2.0,25.853002548217773
C2,48,0.7820163576443,18.1,17.8,1,5.199999809265137,45.0,1.0,50,3.0,24.97846794128418
C2,49,0.7475539631541367,33.2,26.8,1,6.0,29.0,1.0,30,1.0,24.053747177124023
C2,50,0.7441000559002011,32.9,27.2,1,4.400000095367432,22.0,1.0,30,1.0,23.232248306274414
C2,51,0.2622216420312266,79.8,46.699999999999996,2,43.599998474121094,126.0,1.0,30,3.0,26.3393497467041
C2,52,0.43426346734552224,48.2,34.6,2,12.600000381469727,54.0,1.0,90,1.0,31.536943435668945
C2,53,-0.16653005519484387,98.0,48.599999999999994,8,81.80000305175781,297.0,1.0,30,3.0,44.92216491699219
C2,54,0.6515626202554395,39.699999999999996,27.3,8,37.099998474121094,303.0,1.0,70,3.0,60.81996536254883
C2,55,0.5593599557752789,33.5,22.700000000000003,8,4.150000095367432,58.0,1.0,90,1.0,70.89198303222656
C2,56,0.6146067721925762,42.4,28.400000000000002,8,14.25,124.0,1.0,50,1.0,80.26852416992188
C2,57,0.5781269452177589,32.4,21.9,8,11.899999618530273,174.0,1.0,90,3.0,80.1611099243164
C2,58,0.6809760865278697,23.0,18.599999999999998,8,1.600000023841858,46.0,1.0,70,2.0,75.43000030517578
C2,59,0.5205177143633456,18.0,17.5,4,1.0,28.0,1.0,90,2.0,57.92466735839844
C2,60,0.7010405353321001,17.8,17.4,3,1.8666666746139526,45.0,1.0,70,3.0,41.688133239746094
C2,61,0.64513729648747,43.5,28.299999999999997,2,6.0,45.0,1.0,30,1.0,34.879547119140625
C2,62,0.6741217197831726,32.300000000000004,22.1,2,6.400000095367432,54.0,1.0,50,2.0,32.52772903442383
C2,63,0.6322531781199122,44.4,34.2,1,24.799999237060547,90.0,1.0,50,3.0,33.11663818359375
C2,64,0.5974447222196914,33.0,26.3,1,5.199999809265137,25.0,1.0,70,1.0,30.803316116333008
C2,65,0.6809751861440221,18.0,17.7,1,1.600000023841858,13.0,1.0,90,1.0,27.548656463623047
C2,66,0.766163325294095,32.599999999999994,26.3,1,9.600000381469727,46.0,1.0,30,2.0,24.662527084350586
C2,67,0.11502500000000004,136.9,69.8,3,36.599998474121094,95.0,1.0,30,1.0,32.264183044433594
C2,68,0.08017015709204162,81.19999999999999,43.4,3,24.933332443237305,95.0,1.0,90,1.0,47.75851058959961
C2,69,0.5921852175670006,49.3,33.9,3,24.0,126.0,1.0,50,2.0,62.3884391784668
C2,70,0.07329937206679897,90.80000000000001,47.5,3,32.13333511352539,111.0,1.0,90,1.0,73.29972839355469
C2,71,0.21448863677420704,84.2,42.4,5,92.4000015258789,372.0,1.0,70,3.0,83.71317291259766
C2,72,0.4840062262602754,34.7,24.8,12,15.100000381469727,190.0,1.0,30,2.0,94.2279052734375
C2,73,0.8314830420196937,22.3,18.4,12,1.9666666984558105,64.0,1.0,30,2.0,90.00341033935547
C2,74,0.7405222991527153,33.8,23.5,12,5.599999904632568,83.0,1.0,30,1.0,82.00204467773438
C2,75,0.742785075235405,35.1,25.0,12,9.466666221618652,108.0,1.0,30,1.0,78.93456268310547
C2,76,0.6967993180875807,27.900000000000002,20.400000000000002,12,1.9333332777023315,46.0,1.0,50,1.0,78.96073913574219
C2,77,0.39329477900040777,38.6,26.4,6,10.466666221618652,82.0,1.0,50,1.0,78.84310913085938
C2,78,0.6081092938555892,45.6,31.5,4,23.5,140.0,1.0,50,2.0,73.70586395263672
C2,79,0.14604956211427575,50.4,35.0,4,15.5,84.0,1.0,90,1.0,75.690185546875
C2,80,0.6506116848374829,45.199999999999996,31.4,3,12.0,71.0,1.0,30,1.0,75.41410827636719
C2,81,0.4312569514430966,49.7,36.5,2,23.0,100.0,1.0,90,2.0,72.58180236816406
C2,82,0.6360016346621775,28.9,20.9,2,5.599999904632568,40.0,1.0,70,2.0,62.34907913208008
C2,83,0.8477547725551173,18.2,17.8,2,0.800000011920929,10.0,1.0,30,2.0,47.409446716308594
C2,84,0.7088988588710868,18.2,17.7,2,1.7999999523162842,24.0,1.0,70,2.0,33.37900161743164
C2,85,0.6996406626870005,18.5,17.7,1,1.2000000476837158,16.0,1.0,70,1.0,24.427400588989258
C2,86,0.7147064113895217,18.3,17.7,1,4.400000095367432,36.0,1.0,70,2.0,20.78977394104004
C2,87,0.7101875370135838,18.0,17.6,1,2.4000000953674316,20.0,1.0,70,2.0,18.340530395507812
C2,88,0.7694704801128012,18.2,17.8,1,2.0,15.0,1.0,50,1.0,16.737651824951172
C2,89,0.6809751861440221,18.2,17.7,1,1.600000023841858,14.0,1.0,90,1.0,15.24259090423584
C2,90,0.6819403678361281,18.0,17.7,1,2.799999952316284,24.0,1.0,90,2.0,14.612221717834473
C2,91,0.7091925953502508,32.9,27.3,1,16.0,81.0,1.0,50,3.0,15.833999633789062
C2,92,0.8510615300280377,18.3,17.8,1,1.600000023841858,11.0,1.0,30,1.0,16.16706657409668
C2,93,0.8559587577917702,18.1,17.6,1,2.799999952316284,22.0,1.0,30,2.0,16.23357391357422
C2,94,0.7147064113895217,17.8,17.6,1,4.400000095367432,36.0,1.0,70,2.0,15.073476791381836
C2,95,0.7756653383512933,17.9,17.5,1,3.5999999046325684,32.0,1.0,50,2.0,15.044086456298828
C2,96,0.5722214814393628,33.0,26.599999999999998,1,11.600000381469727,60.0,1.0,90,3.0,16.226451873779297
C2,97,0.7679480189220103,18.4,17.7,1,1.600000023841858,14.0,1.0,50,1.0,16.402538299560547
C2,98,0.709325018440201,18.1,17.7,1,2.0,14.0,1.0,70,1.0,16.24152183532715
C2,99,0.5710902975977581,50.0,17.5,1,0.4000000059604645,4.0,1.0,30,1.0,14.011580467224121
C2,100,0.49143651533961924,50.0,17.5,1,1.2000000476837158,8.0,1.0,50,2.0,11.34028148651123
C2,101,0.7756653383512933,17.9,17.5,1,3.5999999046325684,32.0,1.0,50,2.0,10.004168510437012
C2,102,0.5744120147012152,50.0,17.7,1,1.2000000476837158,5.0,1.0,30,1.0,9.335834503173828
C2,103,0.43101000866160666,50.0,18.0,1,0.4000000059604645,4.0,1.0,70,1.0,8.934834480285645
C2,104,0.4326406626870005,50.0,17.4,1,1.2000000476837158,4.0,1.0,70,2.0,6.827567100524902
C2,105,0.7084760865278696,17.7,17.5,1,1.600000023841858,12.0,1.0,70,3.0,5.429873466491699
C2,106,0.788506157879637,17.8,17.5,1,6.800000190734863,54.0,1.0,50,3.0,6.4579243659973145
C2,107,0.7741013474818902,18.0,17.5,1,3.200000047683716,24.0,1.0,50,2.0,8.408087730407715
C2,108,0.48993618398316685,50.0,17.8,1,0.800000011920929,4.0,1.0,50,2.0,9.311519622802734
C2,109,0.7084760865278696,18.1,17.7,1,1.600000023841858,14.0,1.0,70,2.0,8.386911392211914
C2,110,0.43101000866160666,50.0,18.0,1,0.4000000059604645,2.0,1.0,70,2.0,6.365480422973633
C2,111,0.6840840775133381,18.2,18.0,1,5.199999809265137,42.0,1.0,90,3.0,6.752621650695801
C2,112,0.5727547725551173,50.0,17.5,1,0.800000011920929,6.0,1.0,30,1.0,6.8515729904174805
C2,113,0.5727547725551173,50.0,17.3,1,0.800000011920929,6.0,1.0,30,2.0,7.177610397338867
C2,114,0.40536883755156783,50.0,17.9,1,0.800000011920929,6.0,1.0,90,3.0,5.773232936859131
C2,115,0.8543353991895412,19.099999999999998,17.8,1,2.4000000953674316,18.0,1.0,30,3.0,4.930606365203857
C2,116,0.7137749141875284,17.9,17.6,1,4.0,36.0,1.0,70,3.0,5.625030517578125
C2,117,0.40536883755156783,50.0,17.7,1,0.800000011920929,4.0,1.0,90,1.0,6.308351516723633
C2,118,0.40566838741470695,50.0,17.5,1,1.2000000476837158,8.0,1.0,90,2.0,6.4516777992248535
C2,119,0.4326406626870005,50.0,17.7,1,1.2000000476837158,6.0,1.0,70,3.0,5.204339981079102
C2,120,0.49143651533961924,50.0,18.0,1,1.2000000476837158,9.0,1.0,50,3.0,4.322604179382324
C2,121,0.6018073918288847,33.300000000000004,27.3,1,8.0,42.0,1.0,70,2.0,6.0602288246154785
C2,122,0.852702823555001,18.1,17.7,1,2.0,16.0,1.0,30,2.0,7.902803897857666
C2,123,0.5744120147012152,50.0,17.6,1,1.2000000476837158,8.0,1.0,30,1.0,9.675015449523926
C2,124,0.7679480189220103,17.9,17.7,1,1.600000023841858,10.0,1.0,50,2.0,8.605009078979492
