Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,RAM_Pct,Requests,Total_CPU,Total_RAM,Success,HPA_Target,Throughput,Enhancement,Forecast
C2,1,0.11721194471777908,95.10000000000001,51.9,1,3.2,16.40625,41.0,8.0,21.0,1.0,50,1.0,0,0.0
C2,2,-0.09911547791342679,206.1,117.7,1,20.4,16.40625,134.0,51.0,21.0,1.0,50,2.0,1,0.0
C2,3,-0.024971077411886755,173.2,99.8,1,17.6,16.40625,100.0,44.0,21.0,1.0,50,2.0,0,0.0
C2,4,-0.06902543695250984,199.9,115.7,1,23.6,16.40625,103.0,59.0,21.0,1.0,50,3.0,1,0.0
C2,5,-0.07306800289604842,199.5,114.6,1,22.4,16.40625,151.0,56.0,21.0,1.0,50,2.0,0,0.0
C2,6,-0.07397112470907594,204.3,114.1,1,25.2,17.1875,169.0,63.0,22.0,1.0,50,2.0,0,0.0
C2,7,-0.03157246538985592,157.4,96.10000000000001,1,6.8,16.40625,85.0,17.0,21.0,1.0,50,1.0,0,0.0
C2,8,0.020766663619450065,147.60000000000002,93.7,1,12.8,16.40625,83.0,32.0,21.0,1.0,50,2.0,2,0.0
C2,9,0.7541437003574938,18.0,17.8,1,1.2,16.40625,12.0,3.0,21.0,1.0,50,1.0,0,0.0
C2,10,-0.10708178843518779,217.5,117.9,1,25.6,16.40625,100.0,64.0,21.0,1.0,50,3.0,1,0.0
C2,11,-0.10325817326264425,200.9,113.69999999999999,1,16.4,16.40625,116.0,41.0,21.0,1.0,50,2.0,0,0.0
C2,12,0.1173569470208087,96.3,51.5,1,4.0,16.40625,41.0,10.0,21.0,1.0,50,1.0,0,0.0
C2,13,0.13298249833440257,107.7,63.70000000000001,1,14.4,16.40625,55.0,36.0,21.0,1.0,50,3.0,0,0.0
C2,14,0.14557594206577407,91.39999999999999,50.8,1,7.6,16.40625,42.0,19.0,21.0,1.0,50,2.0,0,0.0
C2,15,0.5756891360775801,45.199999999999996,34.9,1,11.2,16.40625,37.0,28.0,21.0,1.0,50,3.0,2,0.0
C2,16,-0.0696164941881339,208.0,116.4,1,28.8,16.40625,122.0,72.0,21.0,1.0,50,3.0,0,0.0
