Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,Requests,Success,HPA_Target,Throughput,Forecast
C1,1,-0.31840928127589835,19.8,18.4,26,2.375,26.0,1.0,90,1.0,63.0
C1,2,0.6801097911364435,18.5,17.5,26,0.446153849363327,15.0,1.0,90,3.0,34.0
C1,3,0.40509865329593847,50.0,17.4,26,0.4307692348957062,6.0,1.0,90,2.0,24.933332443237305
C1,4,0.8462185797091187,18.2,17.4,26,0.4307692348957062,11.0,1.0,30,1.0,17.49333381652832
C1,5,-0.12898999133839342,50.0,17.3,12,0.4000000059604645,5.0,1.0,70,1.0,13.029333114624023
C1,6,0.24017310163146033,17.9,17.4,1,0.5333333611488342,15.0,1.0,90,1.0,11.950933456420898
C1,7,0.7156518863321226,17.6,17.4,1,4.800000190734863,42.0,1.0,70,3.0,11.703893661499023
C1,8,0.5727547725551173,50.0,17.3,1,0.800000011920929,4.0,1.0,30,2.0,11.155669212341309
C1,9,0.4326406626870005,50.0,17.4,1,1.2000000476837158,6.0,1.0,70,2.0,9.22673511505127
C1,10,0.8559587577917702,17.8,17.5,1,2.799999952316284,24.0,1.0,30,2.0,7.802707672119141
C1,11,0.7084760865278696,17.9,17.4,1,1.600000023841858,13.0,1.0,70,1.0,8.414958000183105
C1,12,0.7664365153396192,17.8,17.3,1,1.2000000476837158,10.0,1.0,50,2.0,9.048974990844727
C1,13,0.8591758329899635,17.9,17.4,1,3.5999999046325684,28.0,1.0,30,2.0,9.696051597595215
C1,14,0.5744120147012152,50.0,17.7,1,1.2000000476837158,6.0,1.0,30,2.0,8.750964164733887
C1,15,0.711953628307409,17.6,17.4,1,3.200000047683716,24.0,1.0,70,3.0,8.583911895751953
C1,16,0.6595180141485568,32.5,25.2,1,3.200000047683716,21.0,1.0,50,1.0,9.417014122009277
C1,17,0.7076406626870005,17.8,17.2,1,1.2000000476837158,10.0,1.0,70,2.0,10.183541297912598
C1,18,0.7679480189220103,18.599999999999998,17.5,1,1.600000023841858,14.0,1.0,50,1.0,11.443458557128906
C1,19,0.5955685529987893,33.099999999999994,25.4,1,4.800000190734863,26.0,1.0,70,1.0,12.866074562072754
C1,20,0.7110637162504144,17.8,17.5,1,2.799999952316284,22.0,1.0,70,2.0,14.519644737243652
C1,21,0.7634133252940951,32.9,26.4,1,9.600000381469727,48.0,1.0,30,2.0,16.84511947631836
C1,22,0.6812893625812153,18.3,17.6,1,2.0,16.0,1.0,90,1.0,16.907072067260742
C1,23,0.8510615300280377,18.3,17.7,1,1.600000023841858,14.0,1.0,30,2.0,16.41090965270996
C1,24,0.6822774582840988,18.0,17.7,1,3.200000047683716,24.0,1.0,90,3.0,13.979879379272461
C1,25,0.7386889658193819,34.0,26.9,1,5.599999904632568,23.0,1.0,30,1.0,13.454594612121582
C1,26,0.711953628307409,18.0,17.6,1,3.200000047683716,28.0,1.0,70,2.0,14.07275676727295
C1,27,0.8494120147012152,17.8,17.5,1,1.2000000476837158,11.0,1.0,30,1.0,14.843653678894043
C1,28,0.6525724330031015,33.6,27.400000000000002,1,4.0,20.0,1.0,50,1.0,14.906192779541016
C1,29,0.1637426740050566,63.9,42.9,1,17.200000762939453,49.0,1.0,70,1.0,19.610382080078125
C1,30,0.7694704801128012,18.2,17.5,1,2.0,13.0,1.0,50,1.0,22.699562072753906
C1,31,0.17928963067015913,115.5,66.9,1,59.599998474121094,128.0,1.0,70,2.0,30.419736862182617
C1,32,0.6400142164174877,39.199999999999996,27.599999999999998,2,15.199999809265137,108.0,1.0,50,3.0,33.31850814819336
C1,33,0.4374572485701772,49.8,37.699999999999996,2,22.600000381469727,100.0,1.0,90,2.0,39.99110412597656
C1,34,0.43442728171463596,47.6,31.3,2,8.399999618530273,48.0,1.0,90,1.0,41.861328125
C1,35,0.2793866848374828,71.9,40.099999999999994,2,52.0,195.0,1.0,70,3.0,46.85013198852539
C1,36,0.04679485969984812,103.5,51.3,5,95.19999694824219,393.0,1.0,70,3.0,60.64341354370117
C1,37,0.35024665862742843,38.699999999999996,25.4,14,9.600000381469727,133.0,1.0,30,1.0,80.25271606445312
C1,38,0.58195585207545,31.6,20.400000000000002,14,9.142857551574707,204.0,1.0,90,3.0,92.41829681396484
C1,39,0.6337292746018829,28.9,19.8,14,4.657142639160156,110.0,1.0,70,2.0,89.58431243896484
C1,40,0.7665441116430486,17.8,17.5,14,1.2285714149475098,54.0,1.0,50,2.0,73.7505874633789
C1,41,0.6518132858517733,27.400000000000002,19.099999999999998,14,6.4285712242126465,159.0,1.0,70,3.0,62.25035095214844
C1,42,0.40668555237171866,17.7,17.2,3,0.5428571701049805,26.0,1.0,30,2.0,49.75020980834961
C1,43,0.7051721850233532,28.5,20.299999999999997,3,5.4666666984558105,78.0,1.0,50,3.0,42.11679458618164
C1,44,0.765435040027858,17.3,17.0,3,0.9333333373069763,16.0,1.0,50,1.0,32.60340881347656
C1,45,0.7918746209817764,27.400000000000002,19.3,3,3.7333333492279053,42.0,1.0,30,2.0,27.962045669555664
C1,46,0.6065836307350881,32.4,23.0,3,6.666666507720947,64.0,1.0,70,2.0,25.97722816467285
C1,47,0.5461674108466714,33.300000000000004,24.1,1,5.199999809265137,24.0,1.0,90,1.0,25.853002548217773
C1,48,0.8591758329899635,17.8,17.4,1,3.5999999046325684,30.0,1.0,30,2.0,24.97846794128418
C1,49,0.6941546792737012,32.300000000000004,25.7,1,11.199999809265137,58.0,1.0,50,2.0,24.053747177124023
C1,50,0.6001202949740757,32.2,25.6,1,3.200000047683716,22.0,1.0,70,1.0,23.232248306274414
C1,51,0.16683261076155173,60.8,43.1,1,15.600000381469727,42.0,1.0,70,1.0,26.3393497467041
C1,52,0.25612500000000005,88.5,48.599999999999994,2,46.400001525878906,162.0,1.0,50,3.0,31.536943435668945
C1,53,0.22449999999999998,100.0,49.4,3,28.799999237060547,99.0,1.0,30,1.0,44.92216491699219
C1,54,0.2641,85.6,44.5,4,58.400001525878906,202.0,1.0,50,2.0,60.81996536254883
C1,55,0.6268884014059146,37.900000000000006,25.1,4,7.400000095367432,58.0,1.0,50,1.0,70.89198303222656
C1,56,0.32101101075379657,60.3,36.8,5,81.4000015258789,372.0,1.0,70,3.0,80.26852416992188
C1,57,0.524771611686123,37.5,24.1,5,6.320000171661377,58.0,1.0,90,1.0,80.1611099243164
C1,58,0.6358702949740758,28.299999999999997,19.5,5,3.200000047683716,69.0,1.0,70,3.0,75.43000030517578
C1,59,0.7658350300582394,17.6,17.3,5,1.0399999618530273,28.0,1.0,50,2.0,57.92466735839844
C1,60,0.8467569239884147,17.9,17.3,5,0.5600000023841858,15.0,1.0,30,1.0,41.688133239746094
C1,61,0.6080111670298723,32.599999999999994,22.1,5,7.920000076293945,90.0,1.0,70,2.0,34.879547119140625
C1,62,0.413002915082594,32.800000000000004,23.8,1,10.800000190734863,54.0,1.0,90,2.0,32.52772903442383
C1,63,0.556989034929958,44.2,34.2,1,24.399999618530273,90.0,1.0,70,3.0,33.11663818359375
C1,64,0.6626265182647975,33.2,27.900000000000002,1,5.599999904632568,25.0,1.0,50,1.0,30.803316116333008
C1,65,0.6826224492010974,17.8,17.5,1,3.5999999046325684,26.0,1.0,90,2.0,27.548656463623047
C1,66,0.6956017730581608,32.7,25.9,1,12.399999618530273,69.0,1.0,50,3.0,24.662527084350586
C1,67,0.08000275315666443,145.5,79.8,2,84.19999694824219,190.0,1.0,70,2.0,32.264183044433594
C1,68,0.22287500000000002,103.5,56.0,2,70.4000015258789,190.0,1.0,70,2.0,47.75851058959961
