Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,RAM_Pct,Requests,Total_CPU,Total_RAM,Success,HPA_Target,Throughput,Enhancement,Forecast
C2,1,-0.8299864310899823,60.8,36.4,27,16.25,15.136719,731.0,650.0,310.0,1.0,50,3.0,1,0.0
C2,2,0.6529445241355172,32.7,21.6,27,3.7185185,14.988426,457.0,251.0,518.0,1.0,50,2.0,1,0.0
C2,3,0.6436816341741973,32.7,21.8,27,1.437037,14.988426,141.0,97.0,518.0,1.0,50,2.0,2,0.0
C2,4,0.7815232288442124,26.599999999999998,20.299999999999997,27,0.7259259,14.988426,125.0,49.0,518.0,1.0,30,1.0,0,0.0
C2,5,0.7284031057778968,32.7,22.4,27,0.8148148,15.017361,134.0,55.0,519.0,1.0,30,1.0,0,0.0
C2,6,-0.19891938478714827,32.800000000000004,23.0,5,0.78518516,15.046296,140.0,53.0,520.0,1.0,30,1.0,1,0.0
C2,7,0.10912560610562458,101.8,54.9,2,16.8,15.625,147.0,84.0,40.0,1.0,30,3.0,0,0.0
C2,8,0.18595638224143388,120.80000000000001,65.4,2,17.0,15.625,137.0,85.0,40.0,1.0,30,3.0,1,0.0
C2,9,0.20553354813627256,114.3,63.70000000000001,2,18.0,16.015625,145.0,90.0,41.0,1.0,30,3.0,0,0.0
C2,10,0.12825294313920482,119.7,65.60000000000001,2,20.4,15.625,144.0,102.0,40.0,1.0,50,3.0,2,0.0
C2,11,0.05637621234330113,123.0,65.60000000000001,2,6.2,15.625,147.0,31.0,40.0,1.0,50,1.0,1,0.0
C2,12,0.13544901450883373,113.60000000000001,61.400000000000006,2,18.4,15.625,143.0,92.0,40.0,1.0,50,3.0,0,0.0
C2,13,0.08796881211745622,109.7,62.8,2,5.4,15.625,134.0,27.0,40.0,1.0,50,1.0,1,0.0
C2,14,0.04467641615815869,140.8,76.1,1,16.0,15.625,134.0,80.0,40.0,1.0,50,3.0,1,0.0
C2,15,-0.05377147050501524,208.7,117.7,1,34.0,15.625,141.0,85.0,20.0,1.0,50,3.0,0,0.0
C2,16,-0.09060438432093104,208.1,116.5,1,23.6,15.625,151.0,59.0,20.0,1.0,50,2.0,1,0.0
C2,17,-0.09683708490776344,205.9,115.9,1,20.8,15.625,132.0,52.0,20.0,1.0,50,2.0,0,0.0
C2,18,-0.13985453077078885,203.2,116.1,1,9.6,15.625,123.0,24.0,20.0,1.0,50,1.0,1,0.0
C2,19,-0.11866924157198916,204.7,116.5,1,35.2,15.625,142.0,88.0,20.0,1.0,70,3.0,0,0.0
C2,20,-0.22143749393470002,204.5,113.9,1,8.8,15.625,124.0,22.0,20.0,1.0,70,1.0,0,0.0
C2,21,-0.11472187315093657,203.2,113.19999999999999,1,35.2,15.625,158.0,88.0,20.0,1.0,70,3.0,1,0.0
C2,22,-0.18924159988126193,209.7,118.3,1,22.0,15.625,142.0,55.0,20.0,1.0,70,2.0,2,0.0
C2,23,-0.1335724048895497,204.2,114.8,1,31.6,15.625,133.0,79.0,20.0,1.0,70,3.0,2,0.0
C2,24,-0.1348756467791395,208.8,114.7,1,34.0,15.625,139.0,85.0,20.0,1.0,70,3.0,2,0.0
C2,25,-0.18956283553892955,191.1,110.7,1,7.6,15.625,122.0,19.0,20.0,1.0,70,1.0,1,0.0
C2,26,-0.16717244096025768,199.5,115.7,1,20.8,15.625,150.0,52.0,20.0,1.0,70,2.0,0,0.0
C2,27,-0.1644598401961993,194.39999999999998,111.8,1,18.0,15.625,122.0,45.0,20.0,1.0,70,2.0,0,0.0
C2,28,-0.20812356761941925,207.7,117.3,1,15.6,15.625,124.0,39.0,20.0,1.0,70,2.0,2,0.0
C2,29,-0.19843583236592088,196.20000000000002,110.39999999999999,1,9.2,15.625,122.0,23.0,20.0,1.0,70,1.0,2,0.0
C2,30,-0.12957516808448438,206.1,118.3,1,33.6,15.625,131.0,84.0,20.0,1.0,70,3.0,1,0.0
C2,31,-0.09834458594688764,200.4,112.8,1,37.2,17.1875,158.0,93.0,22.0,1.0,70,3.0,2,0.0
C2,32,-0.22948846394486816,208.0,113.60000000000001,1,9.2,16.40625,118.0,23.0,21.0,1.0,70,1.0,0,0.0
C2,33,-0.17710077782112732,201.5,110.9,1,19.6,15.625,126.0,49.0,20.0,1.0,70,2.0,0,0.0
C2,34,-0.18239949461810406,207.1,119.0,1,22.0,15.625,135.0,55.0,20.0,1.0,70,2.0,1,0.0
C2,35,-0.15302977069541795,202.9,114.5,1,26.4,16.40625,109.0,66.0,21.0,1.0,70,3.0,0,0.0
C2,36,-0.16014831461028756,193.89999999999998,112.4,1,18.8,15.625,133.0,47.0,20.0,1.0,70,2.0,0,0.0
C2,37,-0.1202859722533959,201.2,111.60000000000001,1,32.8,16.40625,137.0,82.0,21.0,1.0,70,3.0,0,0.0
C2,38,-0.2004324007022173,206.4,116.8,1,16.8,16.40625,114.0,42.0,21.0,1.0,70,2.0,2,0.0
C2,39,-0.2296872847180822,207.2,114.8,1,8.4,15.625,122.0,21.0,20.0,1.0,70,1.0,1,0.0
C2,40,-0.19243559885499456,209.1,118.0,1,20.8,15.625,134.0,52.0,20.0,1.0,70,2.0,0,0.0
C2,41,-0.2139049139657921,206.3,111.5,1,12.8,15.625,137.0,32.0,20.0,1.0,70,1.0,1,0.0
C2,42,-0.19910335057157907,196.9,115.4,1,9.6,15.625,123.0,24.0,20.0,1.0,70,1.0,0,0.0
C2,43,-0.16894349989177027,202.6,116.3,1,22.4,15.625,140.0,56.0,20.0,1.0,70,2.0,1,0.0
C2,44,-0.1552746319265596,199.9,116.9,1,24.0,15.625,141.0,60.0,20.0,1.0,70,2.0,0,0.0
C2,45,-0.189630157610907,211.7,120.89999999999999,1,23.2,15.625,147.0,58.0,20.0,1.0,70,2.0,0,0.0
C2,46,-0.17889749976980768,207.0,117.5,1,22.8,15.625,142.0,57.0,20.0,1.0,70,2.0,1,0.0
C2,47,-0.23320237737018085,211.7,118.7,1,11.2,16.40625,130.0,28.0,21.0,1.0,70,1.0,0,0.0
C2,48,-0.18396637929417842,191.6,111.9,1,10.0,15.625,135.0,25.0,20.0,1.0,70,1.0,2,0.0
C2,49,-0.13465988840972398,201.9,113.69999999999999,1,30.0,15.625,135.0,75.0,20.0,1.0,70,3.0,0,0.0
C2,50,-0.1760837051444198,204.7,118.0,1,22.0,15.625,136.0,55.0,20.0,1.0,70,2.0,1,0.0
C2,51,-0.2108346895194399,208.2,117.4,1,15.2,16.40625,172.0,38.0,21.0,1.0,70,1.0,2,0.0
C2,52,-0.09931079625234038,199.4,113.8,1,36.4,15.625,155.0,91.0,20.0,1.0,70,3.0,2,0.0
