Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,RAM_Pct,Requests,Total_CPU,Total_RAM,Success,HPA_Target,Throughput,Enhancement,Forecast
C2,1,-0.1006189287812273,208.0,114.9,1,21.2,16.40625,148.0,53.0,21.0,1.0,50,2.0,0,0.0
C2,2,0.060967454229218704,144.6,92.0,1,20.0,16.40625,83.0,50.0,21.0,1.0,50,3.0,0,0.0
C2,3,-0.07629231475097725,205.8,117.1,1,25.6,17.1875,104.0,64.0,22.0,1.0,50,3.0,0,0.0
C2,4,0.059275296314966225,147.9,97.10000000000001,1,21.6,16.40625,84.0,54.0,21.0,1.0,50,3.0,2,0.0
C2,5,0.08238563962557889,111.5,68.6,1,5.2,16.40625,67.0,13.0,21.0,1.0,50,1.0,2,0.0
C2,6,-0.06603766692896026,184.70000000000002,105.30000000000001,1,15.2,16.40625,94.0,38.0,21.0,1.0,50,2.0,2,0.0
C2,7,0.039068893962531936,133.20000000000002,86.5,1,8.4,16.40625,79.0,21.0,21.0,1.0,50,1.0,0,0.0
C2,8,0.10017798054500815,129.70000000000002,81.5,1,20.0,16.40625,77.0,50.0,21.0,1.0,50,3.0,0,0.0
C2,9,-0.1335283457834418,196.8,108.10000000000001,1,7.2,16.40625,94.0,18.0,21.0,1.0,50,1.0,0,0.0
C2,10,0.4909858056206518,50.0,17.7,1,1.2,16.40625,8.0,3.0,21.0,1.0,50,1.0,1,0.0
C2,11,0.13196645848401842,107.39999999999999,64.10000000000001,1,14.0,16.40625,53.0,35.0,21.0,1.0,50,3.0,1,0.0
C2,12,0.7573373474871592,18.2,17.8,1,2.0,16.40625,15.0,5.0,21.0,1.0,50,1.0,2,0.0
C2,13,-0.15478239184091086,210.9,118.4,1,10.8,16.40625,134.0,27.0,21.0,1.0,50,1.0,0,0.0
C2,14,0.03250159817347102,131.1,81.60000000000001,1,5.6,16.40625,78.0,14.0,21.0,1.0,50,1.0,1,0.0
C2,15,0.6468110316976854,32.599999999999994,25.9,1,2.0,16.40625,20.0,5.0,21.0,1.0,50,1.0,2,0.0
C2,16,-0.08415907091621394,190.89999999999998,108.2,1,14.8,16.40625,95.0,37.0,21.0,1.0,50,2.0,2,0.0
C2,17,-0.05119350831607744,205.8,116.0,1,32.4,16.40625,132.0,81.0,21.0,1.0,50,3.0,0,0.0
C2,18,0.0857121724035706,132.5,82.5,1,18.4,16.40625,72.0,46.0,21.0,1.0,50,3.0,0,0.0
C2,19,0.14620849632182126,90.5,52.1,1,7.2,16.40625,44.0,18.0,21.0,1.0,50,2.0,1,0.0
C2,20,0.024042416823415347,159.3,95.10000000000001,1,20.4,17.1875,83.0,51.0,22.0,1.0,50,3.0,0,0.0
C2,21,0.5562962156200668,45.400000000000006,35.8,1,7.2,16.40625,37.0,18.0,21.0,1.0,50,2.0,0,0.0
C2,22,0.06467388045021752,131.6,80.19999999999999,1,13.2,16.40625,77.0,33.0,21.0,1.0,50,2.0,2,0.0
C2,23,0.06486302024444773,141.1,91.1,1,18.8,16.40625,81.0,47.0,21.0,1.0,50,3.0,1,0.0
C2,24,0.14418835732571167,105.5,63.2,1,15.6,16.40625,59.0,39.0,21.0,1.0,50,3.0,0,0.0
C2,25,-0.07021353161843649,173.4,100.7,1,7.6,16.40625,91.0,19.0,21.0,1.0,50,1.0,1,0.0
C2,26,-0.13039818970192346,194.3,110.3,1,6.4,16.40625,91.0,16.0,21.0,1.0,50,1.0,2,0.0
C2,27,0.6996909593573912,18.4,17.9,1,4.4,16.40625,18.0,11.0,21.0,1.0,70,2.0,0,0.0
C2,28,-0.17021328924349194,203.7,119.2,1,22.8,16.40625,104.0,57.0,21.0,1.0,70,3.0,2,0.0
C2,29,-0.055227820986404164,146.5,93.0,1,13.2,16.40625,81.0,33.0,21.0,1.0,70,2.0,1,0.0
C2,30,-0.14383556278428655,208.1,118.0,1,31.6,16.40625,137.0,79.0,21.0,1.0,70,3.0,0,0.0
C2,31,-0.23109711421228601,210.9,121.30000000000001,1,11.2,16.40625,154.0,28.0,21.0,1.0,70,1.0,1,0.0
C2,32,0.4835758416671029,44.2,34.6,1,2.8,16.40625,30.0,7.0,21.0,1.0,70,1.0,0,0.0
C2,33,-0.15782975130070914,186.5,106.0,1,14.0,16.40625,90.0,35.0,21.0,1.0,70,2.0,1,0.0
C2,34,-0.010522447260191303,142.4,90.0,1,22.4,16.40625,89.0,56.0,21.0,1.0,70,3.0,0,0.0
C2,35,-0.15598834396881484,183.79999999999998,104.1,1,12.4,16.40625,91.0,31.0,21.0,1.0,70,2.0,0,0.0
C2,36,-0.19674120238867648,198.8,110.9,1,12.0,16.40625,162.0,30.0,21.0,1.0,70,1.0,0,0.0
C2,37,-0.00634981683678254,133.20000000000002,80.0,1,17.2,16.40625,75.0,43.0,21.0,1.0,70,3.0,0,0.0
C2,38,0.01811267890161275,121.2,72.2,1,15.2,16.40625,62.0,38.0,21.0,1.0,70,3.0,2,0.0
C2,39,-0.014518900045755623,133.6,83.8,1,15.2,16.40625,79.0,38.0,21.0,1.0,70,2.0,2,0.0
C2,40,-0.08779314340659669,160.39999999999998,98.0,1,14.4,16.40625,88.0,36.0,21.0,1.0,70,2.0,1,0.0
C2,41,-0.09558103128596754,173.5,101.3,1,21.6,16.40625,97.0,54.0,21.0,1.0,70,3.0,2,0.0
C2,42,0.08181479841636984,88.4,47.4,1,8.0,16.40625,44.0,20.0,21.0,1.0,70,2.0,2,0.0
C2,43,-0.22318520158363014,204.3,117.1,1,8.0,16.40625,111.0,20.0,21.0,1.0,70,1.0,1,0.0
C2,44,-0.20910962344130807,203.5,118.3,1,12.0,16.40625,134.0,30.0,21.0,1.0,70,1.0,2,0.0
C2,45,-0.01676366677656832,124.2,81.69999999999999,1,6.4,16.40625,75.0,16.0,21.0,1.0,70,1.0,2,0.0
C2,46,-0.1598928242557897,182.0,107.80000000000001,1,9.6,16.40625,125.0,24.0,21.0,1.0,70,1.0,0,0.0
